uk,geo_name,geo_network,province_tr,district_tr,erdogan,kilicdaroglu
relation_1814656,Kusadasi,TR09-districts,Aydın,Kuşadası,22875,60672
relation_1246164,Kuyucak,TR09-districts,Aydın,Kuyucak,8919,9725
relation_1813256,Nazilli,TR09-districts,Aydın,Nazilli,45130,58643
relation_1612669,Soke,TR09-districts,Aydın,Söke,29124,50875
relation_1813257,Sultanhisar,TR09-districts,Aydın,Sultanhisar,6064,7428
relation_1813273,Yenipazar,TR09-districts,Aydın,Yenipazar,4470,4094
relation_1820740,Altieylul,TR10-districts,Balıkesir,Altıeylül,64520,58117
relation_1814983,Ayvalik,TR10-districts,Balıkesir,Ayvalık,14318,37197
relation_1588165,Balya,TR10-districts,Balıkesir,Balya,5144,4712
relation_1820912,Bandirma,TR10-districts,Balıkesir,Bandırma,42095,64723
relation_1820741,Bigadic,TR10-districts,Balıkesir,Bigadiç,20010,12689
relation_1820913,Burhaniye,TR10-districts,Balıkesir,Burhaniye,16573,27570
relation_1820649,Dursunbey,TR10-districts,Balıkesir,Dursunbey,19447,4625
relation_1815033,Edremit,TR10-districts,Balıkesir,Edremit,40469,74495
relation_1814782,Erdek,TR10-districts,Balıkesir,Erdek,7906,15002
relation_1815034,Gomec,TR10-districts,Balıkesir,Gömeç,4245,7549
relation_1820914,Gonen,TR10-districts,Balıkesir,Gönen,27589,25766
relation_1819456,Havran,TR10-districts,Balıkesir,Havran,12640,6410
relation_1815035,Ivrindi,TR10-districts,Balıkesir,İvrindi,15513,7902
relation_3666900,Karesi,TR10-districts,Balıkesir,Karesi,66946,59355
relation_1820708,Kepsut,TR10-districts,Balıkesir,Kepsut,11049,4241
relation_1820787,Manyas,TR10-districts,Balıkesir,Manyas,6121,7172
relation_1814783,Marmara,TR10-districts,Balıkesir,Marmara,3306,4129
relation_1819457,Savastepe,TR10-districts,Balıkesir,Savaştepe,7334,4689
relation_1821207,Sindirgi,TR10-districts,Balıkesir,Sındırgı,14286,10516
relation_1820788,Susurluk,TR10-districts,Balıkesir,Susurluk,13213,13943
relation_1423095,Amasra,TR74-districts,Bartın,Amasra,4683,4842
relation_1423096,Kurucasile,TR74-districts,Bartın,Kurucaşile,2519,1910
relation_1423097,Bartin merkez,TR74-districts,Bartın,Merkez,59617,40853
relation_1423094,Ulus,TR74-districts,Bartın,Ulus,11144,4366
